ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
319676,80,W,3,57,80588,13.214,184.035,39.324318,-120.225759,,OR,2,Donner Pass Rd,1,,,
319677,80,W,3,57,80588,13.214,184.035,39.324318,-120.225759,,OR,1,Donner Pass Rd,1,,,
319680,80,E,3,57,80588,13.214,183.779,39.324174,-120.225778,,OR,1,Donner Pass Rd,1,,,
319767,5,N,3,67,,14.807,510.1,38.465623,-121.496477,0.844,ML,3,EB Cosumnes River,1,,,
319768,5,N,3,67,,14.807,510.1,38.465623,-121.496477,,OR,2,EB Cosumnes River,1,,,
319769,5,N,3,67,,14.807,510.1,38.465623,-121.496477,,OR,2,EB Cosumnes River,1,,,
319780,5,N,3,67,,14.948,510.241,38.46759,-121.497215,0.273,ML,4,WB Cosumnes River,1,,,
319781,5,N,3,67,,14.948,510.241,38.46759,-121.497215,,OR,3,WB Cosumnes River,1,,,
319793,5,S,3,67,64000,14.941,510.234,38.467403,-121.497538,0.288,ML,3,WB Cosumnes River,1,,,
319794,5,S,3,67,64000,14.941,510.234,38.467403,-121.497538,,OR,2,WB Cosumnes River,1,,,
319795,5,S,3,67,64000,14.941,510.234,38.467403,-121.497538,,OR,3,WB Cosumnes River,1,,,
319805,5,S,3,67,64000,14.776,510.069,38.465105,-121.496723,0.839,ML,4,EB Cosumnes River,1,,,
319806,5,S,3,67,64000,14.776,510.069,38.465105,-121.496723,,OR,2,EB Cosumnes River,1,,,
319812,80,E,3,67,,R11.265,94.89,38.648911,-121.373044,,OR,1,Rte 244 to 80EB,1,,,
319819,50,W,3,67,,15.672,21.342,38.630255,-121.21846,,OR,1,SB Hazel Ave,1,,,
320002,50,W,3,17,,1.747L,30.553,38.657937,-121.055599,0.368,ML,3,Silva Valley,1,,,
320003,50,W,3,17,,1.747L,30.553,38.657937,-121.055599,,OR,2,Silva Valley,1,,,
320016,50,E,3,17,,1.746R,30.552,38.657683,-121.05549,,OR,2,Silva Valley,1,,,
320017,50,E,3,17,,1.746R,30.552,38.657683,-121.05549,,OR,2,Silva Valley,1,,,
320036,65,S,3,61,,R10.631,70.384,38.832956,-121.300152,0.74,ML,2,Whitney Ranch,1,,,
320037,65,S,3,61,,R10.631,70.384,38.832956,-121.300152,,OR,1,Whitney Ranch,1,,,
320045,65,N,3,61,,R10.689,70.451,38.833963,-121.299777,0.748,ML,2,Whitney Ranch,1,,,
320046,65,N,3,61,,R10.689,70.451,38.833963,-121.299777,,OR,1,Whitney Ranch,1,,,
320053,50,E,3,67,,16.929,22.599,38.639639,-121.198279,,OR,2,Folsom Blvd,1,,,
320280,50,E,3,17,,53.187,81.452,38.783226,-120.224902,5,ML,1,Wrights Lake Rd,1,,,
320282,50,W,3,17,,53.187,81.456,38.783227,-120.224909,5,ML,1,Wrights Lake Rd,1,,,
320287,50,W,3,17,,39.794,68.181,38.769136,-120.44719,2.564,ML,1,Ice House,1,,,
320290,50,E,3,17,,39.794,68.177,38.769144,-120.447179,4.949,ML,1,Ice House,1,,,
320331,267,E,3,61,,6.741,8.539,39.261026,-120.071496,5,ML,1,Brockway Summit,1,,,
320332,267,W,3,61,,6.741,8.539,39.261025,-120.071495,5,ML,2,Brockway Summit,1,,,
320429,80,W,3,67,,M1.394,85.299,38.615692,-121.535047,1.15,ML,4,NB W. El Camino Ave,1,,,
320430,80,W,3,67,,M1.394,85.299,38.615692,-121.535047,,OR,1,NB W. El Camino Ave,1,,,
320431,80,W,3,67,,M1.394,85.299,38.615692,-121.535047,,OR,2,NB W. El Camino Ave,1,,,
320440,80,E,3,67,,M1.291,85.196,38.614453,-121.536199,,OR,1,SB W. El Camino Ave,1,,,
320441,80,E,3,67,,M1.291,85.196,38.614453,-121.536199,,OR,2,SB W. El Camino Ave,1,,,
320442,80,E,3,67,,M1.291,85.196,38.614453,-121.536199,0.537,ML,4,SB W. El Camino Ave,1,,,
320449,80,W,3,67,,M1.236,85.141,38.614074,-121.537101,0.511,ML,4,SB W. El Camino Ave,1,,,
320450,80,W,3,67,,M1.236,85.141,38.614074,-121.537101,,OR,1,SB W. El Camino Ave,1,,,
320457,80,E,3,67,,M1.444,85.349,38.615887,-121.534057,0.19,ML,4,NB W. El Camino Ave,1,,,
320458,80,E,3,67,,M1.444,85.349,38.615887,-121.534057,,OR,1,NB W. El Camino Ave,1,,,
320482,80,W,3,67,64000,M4.891,88.796,38.640622,-121.479483,0.677,HV,1,SB Northgate Blvd,1,,,
320483,80,W,3,67,64000,M4.891,88.796,38.640622,-121.479483,0.335,ML,3,SB Northgate Blvd,1,,,
320484,80,W,3,67,64000,M4.891,88.796,38.640622,-121.479483,,OR,1,SB Northgate Blvd,1,,,
320492,80,E,3,67,64000,M3.761,87.666,38.634617,-121.498568,0.397,HV,1,NB Truxel Rd,1,,,
320499,80,W,3,67,64000,M3.537,87.442,38.633055,-121.502131,1.013,HV,1,SB Truxel Rd,1,,,
320501,80,E,3,67,64000,M3.584,87.489,38.633176,-121.501271,1.045,HV,1,SB Truxel Rd,1,,,
320504,80,E,3,67,64000,M4.913,88.818,38.64041,-121.479025,0.334,HV,1,NB Northgate Blvd,1,,,
320506,80,E,3,67,64000,M5.049,88.954,38.64071,-121.476541,0.389,HV,1,SB Northgate Blvd,1,,,
320513,80,W,3,67,64000,M6.038,89.943,38.641601,-121.458387,0.6,HV,1,Norwood Ave,1,,,
320514,80,W,3,67,64000,M6.038,89.943,38.641601,-121.458387,,OR,1,Norwood Ave,1,,,
320515,80,E,3,67,64000,M6.038,89.943,38.64133,-121.458354,,FR,2,Norwood Ave,1,,,
320552,99,S,3,67,,35.434,302.106,38.715267,-121.540595,1.312,ML,2,WB W Elverta Rd,1,,,
320553,99,S,3,67,,35.434,302.106,38.715267,-121.540595,,OR,1,WB W Elverta Rd,1,,,
320554,99,S,3,67,,35.434,302.106,38.715267,-121.540595,,OR,1,WB W Elverta Rd,1,,,
320555,99,S,3,67,,35.434,302.106,38.715267,-121.540595,,OR,2,WB W Elverta Rd,1,,,
320562,80,E,3,67,64000,M4.38,88.285,38.639095,-121.48872,0.576,HV,1,North Freeway,1,,,
320563,80,W,3,67,64000,M4.38,88.285,38.63933,-121.488798,0.256,ML,1,North Freeway,1,,,
320589,80,W,3,67,64000,M3.696,87.601,38.63434,-121.499686,0.676,HV,1,NB Truxel Rd,1,,,
320592,80,E,3,67,64000,M8.229,92.134,38.638645,-121.41951,0.884,HV,1,Pinell Street OC,1,,,
320593,80,W,3,67,64000,M8.229,92.134,38.638909,-121.419445,0.839,HV,1,Pinell Street OC,1,,,
320596,80,E,3,67,64000,M6.891,90.796,38.641962,-121.442702,0.711,HV,1,E of Rio Linda Blvd,1,,,
